,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
0,1,1998-01-05,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.008333333333333338,[1.678  0.8613],0.0
1,2,1998-01-06,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.016666666666666677,[1.863 0.989],0.0
2,3,1998-01-07,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.024999999999999994,[2.354  0.5156],0.0
3,4,1998-01-08,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.033333333333333354,[1.883  0.5464],0.0
4,5,1998-01-09,782.0740166870066,21,0,10.37742777680921,0.0,1000.0,1000.0,0.03258641736195861,[0.602  0.2192],0.0
5,6,1998-01-12,379.2481491064134,60,0,10.345864181559778,0.0,998.9802530765568,1000.0,-1.0007845159879012,[0.3884 0.529 ],-1.019746923443222
6,7,1998-01-13,184.73428620565446,79,0,10.31981916195374,0.0,993.5024530035469,1000.0,-6.486770829757808,[0.8413 0.5254],-6.4975469964531385
7,8,1998-01-14,184.73428620565446,79,0,10.31981916195374,0.0,1014.9519143192476,1014.9519143192476,14.964229938328012,[2.78  0.548],14.951914319247635
8,9,1998-01-15,184.73428620565446,79,0,10.31981916195374,0.0,1017.9248443586004,1017.9248443586004,17.938699430065775,[2.86  0.741],17.924844358600353
9,10,1998-01-16,57.40972515786706,91,0,10.358134888375087,0.0,1022.9543131035882,1022.9543131035882,22.959097247351377,[0.2834 0.707 ],22.95431310358822
10,11,1998-01-20,57.40972515786706,91,0,10.358134888375087,0.0,1024.8818966181648,1024.8818966181648,24.887159176304245,[2.201  0.3962],24.881896618164774
11,12,1998-01-21,14.206528310921549,95,0,10.376773386200826,0.0,1040.2824534258775,1040.2824534258775,40.283874078708614,[0.4941 0.82  ],40.28245342587752
12,13,1998-01-22,971.7578958347805,8,87,10.376773386200826,957.551367523859,1059.8085962967446,1059.8085962967446,59.91387006879332,[1.244 0.918],59.808596296744554
13,14,1998-01-23,993.683135394469,6,89,10.376773386200826,979.4766070835475,1059.4588540735347,1059.8085962967446,59.57478377266402,[1.338  0.2976],59.45885407353467
14,15,1998-01-26,250.32256249871205,73,89,11.035907030314547,979.4766070835475,1060.2527389373727,1060.2527389373727,60.28402925768501,[0.428  0.7637],60.25273893737267
15,16,1998-01-27,239.0522402400566,74,89,11.039074803670506,979.4766070835475,1073.056087380561,1073.056087380561,73.08796101259294,[0.8745  0.07465],73.05608738056094
16,17,1998-01-28,181.4524524942018,79,89,11.069510420474332,979.4766070835475,1091.5290988787078,1091.5290988787078,91.55480464281118,[0.5884 0.2915],91.52909887870783
17,18,1998-01-29,181.4524524942018,79,89,11.069510420474332,979.4766070835475,1119.5481906326802,1119.5481906326802,119.57540850055432,"[1, 0]",119.54819063268019
18,19,1998-01-30,181.4524524942018,79,89,11.069510420474332,979.4766070835475,1124.5559132000892,1124.5559132000892,124.58464317173413,[2.41   0.6904],124.55591320008921
19,20,1998-02-02,109.79944127560032,85,89,11.131109816894984,979.4766070835475,1124.8837668724545,1124.8837668724545,124.90206677933381,[0.8647 0.423 ],124.88376687245454
20,21,1998-02-03,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1146.8587059683882,1146.8587059683882,146.86938038254928,[0.01724 0.527  ],146.85870596838822
21,22,1998-02-04,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1172.2165066464765,1172.2165066464765,172.22768936607386,[2.518  0.8804],172.21650664647655
22,23,1998-02-05,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1174.8777352155782,1174.8777352155782,174.88942624061178,[2.416 0.589],174.87773521557824
23,24,1998-02-06,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1184.004713455246,1184.004713455246,184.0169127857158,[2.379  0.1052],184.00471345524602
24,25,1998-02-09,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1174.418671226857,1184.004713455246,174.431378862763,"[1, 0]",174.418671226857
25,26,1998-02-10,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1191.420899079899,1191.420899079899,191.43411502124133,"[0, 0]",191.42089907989907
26,27,1998-02-11,60.99665234888088,89,89,11.179181161379699,979.4766070835475,1188.9889872046087,1191.420899079899,189.00271145138726,"[1, 0]",188.98898720460875
27,28,1998-02-12,776.1936927669806,33,145,11.179181161379699,1694.6736475016473,1197.6490915847894,1197.6490915847894,197.83020344643504,[1.691  0.6357],197.6490915847894
28,29,1998-02-13,928.5193406265612,21,157,11.179181161379699,1846.999295361228,1195.0892243808273,1197.6490915847894,195.31361655481209,[1.353 0.388],195.08922438082732
29,30,1998-02-17,915.831028745798,22,157,11.247778012260769,1846.999295361228,1194.973890122589,1197.6490915847894,195.20284787977542,[0.4348 0.0244],194.97389012258895
30,31,1998-02-18,777.6644331064869,33,157,11.68538520936509,1846.999295361228,1192.1642200244203,1197.6490915847894,192.36511666963943,[0.1335 0.1636],192.16422002442027
31,32,1998-02-19,504.8419711064869,55,157,11.971639525619054,1846.999295361228,1186.8981261064869,1197.6490915847894,187.03275063211527,[0.7324 0.37  ],186.89812610648687
32,33,1998-02-20,841.5624557537194,28,184,11.971639525619054,2183.7197800084605,1190.7540694619606,1197.6490915847894,190.98549913729292,[1.151 0.498],190.75406946196063
33,34,1998-02-23,841.5624557537194,28,184,11.971639525619054,2183.7197800084605,1190.5549125500727,1197.6490915847894,190.79335524586958,"[0, 0]",190.5549125500727
34,35,1998-02-24,841.5624557537194,28,184,11.971639525619054,2183.7197800084605,1205.9787927942439,1205.9787927942439,206.2242485105054,[2.408  0.9756],205.97879279424387
35,36,1998-02-25,841.5624557537194,28,184,11.971639525619054,2183.7197800084605,1214.7956134346357,1214.7956134346357,215.0480821713618,[2.625  0.9585],214.7956134346357
36,37,1998-02-26,841.5624557537194,28,184,11.971639525619054,2183.7197800084605,1218.910431402151,1218.910431402151,219.1699131593418,[2.846  0.3308],218.91043140215106
37,38,1998-02-27,1074.7057087537194,11,201,11.971639525619054,2416.8630330084607,1225.5631077537194,1225.5631077537194,225.903431228158,[1.64   0.6313],225.56310775371935
38,39,1998-03-02,64.38612462969434,85,201,13.435383751833347,2416.8630330084607,1224.8883496370204,1225.5631077537194,224.90927512752504,[0.4539 0.955 ],224.88834963702038
39,40,1998-03-03,64.38612462969434,85,201,13.435383751833347,2416.8630330084607,1200.3798251758149,1225.5631077537194,200.4012872173581,[2.666  0.9785],200.37982517581486
40,41,1998-03-04,280.81966044813,69,217,13.435383751833347,2633.2965688268964,1214.1892836651339,1225.5631077537194,214.28523038245365,[1.14  0.192],214.18928366513387
41,42,1998-03-05,280.81966044813,69,217,13.435383751833347,2633.2965688268964,1192.8230546035913,1225.5631077537194,192.9213414847482,[2.51   0.4546],192.82305460359134
42,43,1998-03-06,319.2331128813779,66,220,13.435383751833347,2671.7100212601445,1164.3290664128317,1225.5631077537194,164.44345827828087,[1.862   0.05405],164.3290664128317
43,44,1998-03-09,372.164870893226,62,224,13.435383751833347,2724.6417792719926,1192.6071200768713,1225.5631077537194,192.74358052953215,[1.986   0.07404],192.6071200768713
44,45,1998-03-10,901.2274623779992,21,265,13.435383751833347,3253.704370756766,1172.2107409433709,1225.5631077537194,172.54870124176261,[1.214 0.674],172.21074094337087
45,46,1998-03-11,901.2274623779992,21,265,13.435383751833347,3253.704370756766,1175.082678442548,1225.5631077537194,175.42814896979294,[2.342 0.812],175.08267844254806
46,47,1998-03-12,46.431027169857316,86,265,13.220226674379562,3253.704370756766,1177.3924645221682,1225.5631077537194,177.41065000780975,[0.901 0.963],177.3924645221682
47,48,1998-03-13,46.431027169857316,86,265,13.220226674379562,3253.704370756766,1177.7106065063156,1225.5631077537194,177.7291789171835,"[0, 0]",177.71060650631557
48,49,1998-03-16,1090.4575950765145,7,344,13.220226674379562,4297.730938663423,1182.96627830875,1225.5631077537194,183.41154849340614,[1.274  0.9224],182.9662783087499
49,50,1998-03-17,1169.5507927885333,1,350,13.220226674379562,4376.824136375442,1182.732992407203,1225.5631077537194,183.2203052375316,[1.585 0.993],182.73299240720303
50,51,1998-03-18,1169.5507927885333,1,350,13.220226674379562,4376.824136375442,1182.4705830817088,1225.5631077537194,182.96764216864395,[2.943 0.526],182.4705830817088
51,52,1998-03-19,39.271201841520224,88,350,12.994316109334006,4376.824136375442,1182.542512224706,1225.5631077537194,182.55952974550388,[0.8135 0.968 ],182.5425122247059
52,53,1998-03-20,39.271201841520224,88,350,12.994316109334006,4376.824136375442,1190.915927864213,1225.5631077537194,190.93327264502634,[0.4436 0.2795],190.91592786421302
53,54,1998-03-23,39.271201841520224,88,350,12.994316109334006,4376.824136375442,1197.4700629513482,1225.5631077537194,197.48773499217685,"[0, 0]",197.47006295134815
54,55,1998-03-24,25.93308534050429,89,350,12.998179035083242,4376.824136375442,1213.0254539309221,1225.5631077537194,213.03733992836987,[0.7217 0.9873],213.02545393092214
55,56,1998-03-25,25.93308534050429,89,350,12.998179035083242,4376.824136375442,1232.9665034686313,1232.9665034686313,232.9786055751236,[2.107 0.492],232.96650346863134
56,57,1998-03-26,25.93308534050429,89,350,12.998179035083242,4376.824136375442,1312.3859671075934,1312.3859671075934,312.3982853231301,[2.018 0.507],312.3859671075934
57,58,1998-03-27,25.93308534050429,89,350,12.998179035083242,4376.824136375442,1288.3751165782926,1312.3859671075934,288.3876509028738,[0.3706 0.7754],288.3751165782926
58,59,1998-03-30,40.14541086941946,88,351,12.998179035083242,4391.036461904358,1290.8300574139541,1312.3859671075934,290.8497955742983,[1.795   0.02185],290.83005741395414
59,60,1998-03-31,40.14541086941946,88,351,12.998179035083242,4391.036461904358,1282.8757504958896,1312.3859671075934,282.89582320132433,[2.297  0.0425],282.87575049588963
60,61,1998-04-01,25.810838258401304,89,351,13.013194693239814,4391.036461904358,1301.5878006390171,1312.3859671075934,301.6009211484652,[0.08673 0.501  ],301.58780063901713
61,62,1998-04-02,25.810838258401304,89,351,13.013194693239814,4391.036461904358,1310.737289309498,1312.3859671075934,310.75062490926484,[2.506  0.3196],310.737289309498
62,63,1998-04-03,25.810838258401304,89,351,13.013194693239814,4391.036461904358,1320.5347360429532,1320.5347360429532,320.5482867330389,[2.352  0.1914],320.5347360429532
63,64,1998-04-06,25.810838258401304,89,351,13.013194693239814,4391.036461904358,1352.11554855748,1352.11554855748,352.12931433788447,[2.22  0.717],352.11554855748
64,65,1998-04-07,112.96495520538322,83,357,13.013194693239814,4478.1905788513395,1318.5969063052996,1352.11554855748,318.65809565603587,[1.761  0.0753],318.5969063052996
65,66,1998-04-08,28.295743281502382,89,357,13.087240128795342,4478.1905788513395,1284.222386819068,1352.11554855748,284.237949477873,[0.9585 0.7524],284.2223868190681
66,67,1998-04-09,28.295743281502382,89,357,13.087240128795342,4478.1905788513395,1270.7527195942198,1352.11554855748,270.7685180508853,[0.5005 0.1132],270.7527195942198
67,68,1998-04-13,28.295743281502382,89,357,13.087240128795342,4478.1905788513395,1283.9911126913141,1352.11554855748,284.0071469458403,"[0, 0]",283.99111269131413
68,69,1998-04-14,28.295743281502382,89,357,13.087240128795342,4478.1905788513395,1295.8244172379812,1352.11554855748,295.840687290368,[2.324  0.2727],295.82441723798115
69,70,1998-04-15,298.4840597043045,70,376,13.087240128795342,4748.3788952741415,1293.9146991567336,1352.11554855748,294.08881485822775,[1.672  0.2238],293.9146991567336
70,71,1998-04-16,298.4840597043045,70,376,13.087240128795342,4748.3788952741415,1316.8794182937704,1352.11554855748,317.0560213624288,"[0, 0]",316.8794182937704
71,72,1998-04-17,298.4840597043045,70,376,13.087240128795342,4748.3788952741415,1313.3793061005429,1352.11554855748,313.5583965363655,"[0, 0]",313.37930610054286
72,73,1998-04-20,298.4840597043045,70,376,13.087240128795342,4748.3788952741415,1329.3485930568213,1352.11554855748,329.5301708598081,[2.482 0.932],329.3485930568213
73,74,1998-04-21,733.7245419539022,41,405,13.087240128795342,5183.619377523739,1349.0645340998853,1352.11554855748,349.51699756742363,[1.365  0.4207],349.06453409988535
74,75,1998-04-22,475.0252497591076,58,405,13.711657542679372,5183.619377523739,1357.6463643060538,1357.6463643060538,357.9432550871532,[0.10443 0.3584 ],357.6463643060538
