,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
20,21,1998-02-03,487.6580607764438,49,80,11.915078976620217,921.0925496879086,1088.318844559266,1088.318844559266,88.4041847199018,[0.3616 0.1805],88.31884455926593
21,22,1998-02-04,500.10776173298086,48,81,11.915078976620217,933.5422506444456,1097.6934076467594,1097.6934076467594,97.78509406974378,[1.49   0.0278],97.6934076467594
22,23,1998-02-05,1051.8883308927761,4,125,11.915078976620217,1485.322819804241,1102.050200816394,1102.050200816394,102.25181274648173,[1.971 0.937],102.05020081639395
23,24,1998-02-06,1064.474338425884,3,126,11.915078976620217,1497.9088273373488,1102.2323610252076,1102.2323610252076,102.44525589289282,[1.324 0.282],102.23236102520764
24,25,1998-02-09,1064.474338425884,3,126,11.915078976620217,1497.9088273373488,1102.3302293641286,1102.3302293641286,102.55199485130069,[2.852 0.458],102.33022936412863
25,26,1998-02-10,937.9414926561335,13,126,12.482929438431636,1497.9088273373488,1102.4341921568093,1102.4341921568093,102.63741281355149,[0.522  0.1247],102.43419215680933
26,27,1998-02-11,937.9414926561335,13,126,12.482929438431636,1497.9088273373488,1102.7433469698992,1102.7433469698992,102.95438380574684,"[0, 0]",102.74334696989922
27,28,1998-02-12,937.9414926561335,13,126,12.482929438431636,1497.9088273373488,1103.7573647697316,1103.7573647697316,103.97621778468466,[2.678  0.8696],103.75736476973157
28,29,1998-02-13,1064.717241182259,3,136,12.482929438431636,1624.6845758634743,1102.7499657400965,1103.7573647697316,103.00727240671556,[1.153  0.7744],102.74996574009651
29,30,1998-02-17,1064.717241182259,3,136,12.482929438431636,1624.6845758634743,1102.871968623315,1103.7573647697316,103.13814793361064,[2.182  0.3909],102.87196862331507
30,31,1998-02-18,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1101.9806375054718,1103.7573647697316,102.26210704436622,[1.881  0.7637],101.9806375054718
31,32,1998-02-19,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1101.9605263977342,1103.7573647697316,102.25107559917355,[1.928  0.4116],101.96052639773416
32,33,1998-02-20,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1102.0213412672267,1103.7573647697316,102.32097013121108,[1.0205 0.719 ],102.02134126722672
33,34,1998-02-23,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1102.0116434601034,1103.7573647697316,102.32035198663277,"[0, 0]",102.01164346010341
34,35,1998-02-24,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1102.5594430881024,1103.7573647697316,102.87723127717675,[2.865   0.04544],102.5594430881024
35,36,1998-02-25,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1102.7868402863837,1103.7573647697316,103.11370813800305,"[0, 0]",102.78684028638372
36,37,1998-02-26,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1103.0203366130916,1103.7573647697316,103.35628412725586,[1.292  0.4456],103.02033661309156
37,38,1998-02-27,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1103.2738143977342,1103.7573647697316,103.6188415744435,[1.012  0.2805],103.27381439773421
38,39,1998-03-02,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1103.2512221897632,1103.7573647697316,103.60532902901748,[2.332 0.831],103.25122218976321
39,40,1998-03-03,1089.5595053977343,1,138,12.482929438431636,1649.5268400789496,1103.2336048905293,1103.7573647697316,103.5967913923285,[1.818  0.5503],103.23360489052925
40,41,1998-03-04,428.0186621094555,50,138,13.480475454534208,1649.5268400789496,1103.0603389342298,1103.7573647697316,103.20657864378384,[0.508  0.6187],103.06033893422978
41,42,1998-03-05,31.497763237321067,80,138,13.38180839498556,1649.5268400789496,1088.8868268963463,1103.7573647697316,88.89785111347936,[0.625 0.953],88.88682689634629
42,43,1998-03-06,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1049.2543173725098,1103.7573647697316,49.26104536977114,[0.044 0.787],49.25431737250983
43,44,1998-03-09,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1070.7194547426545,1103.7573647697316,70.72633920496844,[2.432   0.12213],70.71945474265453
44,45,1998-03-10,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1081.8789019351377,1103.7573647697316,81.88594286250421,[2.299 0.666],81.87890193513772
45,46,1998-03-11,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1077.4072578705868,1103.7573647697316,77.41445526300589,[0.711  0.5527],77.40725787058682
46,47,1998-03-12,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1074.6420473128796,1103.7573647697316,74.6494011703513,[2.602  0.2272],74.64204731287964
47,48,1998-03-13,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1084.779118156829,1103.7573647697316,84.78662847935335,[0.2117 0.1271],84.7791181568291
48,49,1998-03-16,18.775806310631207,81,138,13.373662080562157,1649.5268400789496,1089.0362393833457,1103.7573647697316,89.04390617092251,[0.2145 0.3433],89.03623938334567
49,50,1998-03-17,111.27937430936305,74,145,13.373662080562157,1742.0304080776814,1089.1742360102426,1103.7573647697316,89.2206024162048,[1.551   0.08984],89.17423601024257
50,51,1998-03-18,614.3520286412942,35,184,13.373662080562157,2245.1030624096124,1065.8274876571297,1103.7573647697316,66.08858726930228,[1.969  0.5312],65.82748765712972
51,52,1998-03-19,614.3520286412942,35,184,13.373662080562157,2245.1030624096124,1066.2966693414603,1103.7573647697316,66.56288855387153,[1.723   0.02788],66.2966693414603
52,53,1998-03-20,666.8548758262233,31,188,13.373662080562157,2297.6059095945416,1073.7519415094241,1103.7573647697316,74.0464690795807,[1.569  0.1312],73.75194150942411
53,54,1998-03-23,666.8548758262233,31,188,13.373662080562157,2297.6059095945416,1074.57181965209,1103.7573647697316,74.87190434621176,[2.188 0.704],74.57181965208997
54,55,1998-03-24,785.3946324285168,22,197,13.373662080562157,2416.145666196835,1075.1584819007899,1103.7573647697316,75.51845444065293,[1.055 0.296],75.15848190078987
55,56,1998-03-25,649.9327276920559,32,197,13.42757720340089,2416.145666196835,1083.410822848731,1103.7573647697316,83.71412478832059,[0.898  0.1796],83.41082284873096
56,57,1998-03-26,821.0514219554294,20,209,13.42757720340089,2587.2643604602085,1106.2492457277187,1106.2492457277187,106.63924515314757,[1.992  0.3772],106.24924572771874
