,Date,Open,High,Low,Close,Adj Close,Volume
5300,2019-01-28,155.78999299999998,156.330002,153.66000400000001,156.300003,153.207047,26192100
5301,2019-01-29,156.25,158.130005,154.110001,154.679993,151.61908,41587200
5302,2019-01-30,163.25,166.149994,160.229996,165.25,161.979935,61109800
5303,2019-01-31,166.110001,169.0,164.559998,166.440002,163.146362,40739600
5304,2019-02-01,166.96000700000002,168.979996,165.929993,166.520004,163.22479199999998,32668100
5305,2019-02-04,167.41000400000001,171.66000400000001,167.279999,171.25,167.861191,31495500
5306,2019-02-05,172.860001,175.080002,172.350006,174.179993,170.733215,36101600
5307,2019-02-06,174.649994,175.570007,172.850006,174.240005,170.792038,28239600
5308,2019-02-07,172.399994,173.940002,170.33999599999999,170.940002,167.55732700000002,31741700
5309,2019-02-08,168.990005,170.66000400000001,168.419998,170.41000400000001,167.75422700000001,23820000
5310,2019-02-11,171.050003,171.21000700000002,169.25,169.429993,166.789474,20993400
5311,2019-02-12,170.100006,171.0,169.699997,170.889999,168.22673,22283500
5312,2019-02-13,171.389999,172.479996,169.919998,170.179993,167.52778600000002,22490200
5313,2019-02-14,169.71000700000002,171.259995,169.380005,170.800003,168.13815300000002,21835700
5314,2019-02-15,171.25,171.699997,169.75,170.419998,167.764069,24626800
5315,2019-02-19,169.71000700000002,171.440002,169.490005,170.929993,168.266098,18972800
5316,2019-02-20,171.190002,173.320007,170.990005,172.029999,169.34896899999998,26114400
5317,2019-02-21,171.800003,172.369995,170.300003,171.059998,168.39408899999998,17249700
5318,2019-02-22,171.580002,173.0,171.380005,172.970001,170.274307,18913200
5319,2019-02-25,174.16000400000001,175.869995,173.949997,174.229996,171.51466399999998,21873400
5320,2019-02-26,173.71000700000002,175.300003,173.169998,174.330002,171.613113,17070200
5321,2019-02-27,173.21000700000002,175.0,172.729996,174.869995,172.144699,27835400
5322,2019-02-28,174.320007,174.91000400000001,172.919998,173.149994,170.45150800000002,28215400
5323,2019-03-01,174.279999,175.149994,172.889999,174.970001,172.24311799999998,25886200
5324,2019-03-04,175.690002,177.75,173.970001,175.850006,173.10943600000002,27436200
5325,2019-03-05,175.940002,176.0,174.53999299999998,175.529999,172.79440300000002,19737400
5326,2019-03-06,174.669998,175.490005,173.940002,174.520004,171.800171,20810400
5327,2019-03-07,173.869995,174.440002,172.020004,172.5,169.811646,24796400
5328,2019-03-08,170.320007,173.070007,169.5,172.91000400000001,170.215256,23999400
5329,2019-03-11,175.490005,179.119995,175.350006,178.899994,176.111877,32011000
5330,2019-03-12,180.0,182.669998,179.369995,180.91000400000001,178.090576,32467600
5331,2019-03-13,182.25,183.300003,180.919998,181.71000700000002,178.878098,31032500
5332,2019-03-14,183.899994,184.100006,182.559998,183.729996,180.866608,23579500
5333,2019-03-15,184.850006,187.330002,183.740005,186.119995,183.21936000000002,39042900
5334,2019-03-18,185.800003,188.389999,185.78999299999998,188.020004,185.089767,26219800
5335,2019-03-19,188.350006,188.990005,185.919998,186.529999,183.622986,31646400
5336,2019-03-20,186.229996,189.490005,184.729996,188.16000400000001,185.227585,31035200
